id,extract,author,explorer,vol,place,date,lat,long,wiki
V0001,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Grauesend,1578-05-25,51.442,0.369,https://en.wikipedia.org/wiki/Gravesend
V0002,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Grauesend,1578-05-27,51.442,0.369,https://en.wikipedia.org/wiki/Gravesend
V0003,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Harwich,1578-05-28,51.94458,1.289852,https://en.wikipedia.org/wiki/Harwich
V0004,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Harwich,1578-05-31,51.94458,1.289852,https://en.wikipedia.org/wiki/Harwich
V0005,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,the Dursies,1578-06-05,51.6,-10.2,https://en.wikipedia.org/wiki/Dursey_Island
V0006,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Frizeland,1578-06-20,60.02095,-43.76953,https://en.wikipedia.org/wiki/Frisland
V0007,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Queenes foreland,1578-07-02,62.383333,-64.466667,
V0008,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Countesse of Warwicks sound,1578-07-20,62.77609,-65.39886,
V0009,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Iackmans sound,1578-07-18,62.45014,-66.43845,
V0010,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Countesse of Warwicks sound,1578-08-04,62.77609,-65.39886,
V0011,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Queenes foreland,1578-07-26,62.383333,-64.466667,
V0012,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,the mouth of the Straights,1578-07-26,61.43877,-67.39014,https://en.wikipedia.org/wiki/Hudson_Strait
V0013,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Countesse of Warwicks sound,1578-07-30,62.77609,-65.39886,
V0014,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Countesses Iland,1578-07-30,62.78175,-65.47852,
V0015,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Beares sound,,62.516667,-65.233333,https://en.wikipedia.org/wiki/Beare_Sound
V0016,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Countesse of Sussex Island,,62.783,-65.433,
V0017,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,on Seaboard,,61.98027,-64.09424,https://en.wikipedia.org/wiki/Labrador_Sea
V0018,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,narrow Streights,1578-08-31,62.34961,-65.50049,
V0019,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,Sylley,1578-09-28,49.936111,-6.322778,https://en.wikipedia.org/wiki/Isles_of_Scilly
V0020,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,landes ende,1578-09-28,50.068611,-5.716111,https://en.wikipedia.org/wiki/Land's_End
V0021,FROBISHER_3,Thomas Ellis,Martin Frobisher,12,riuer of Thames,,51.4989,0.6087,https://en.wikipedia.org/wiki/River_Thames
